school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Syracuse,ACC,8.39,3.93,113.04,94.11
Saint Mary's (CA),WCC,5.76,6.51,114.87,95.37
Mississippi State,SEC,5.95,6.27,113.86,94.54
Memphis,AAC,5.06,7.11,101.25,83.92
Virginia,ACC,-9.38,21.54,100.31,80.80
NC State,ACC,8.00,4.05,110.92,92.80
Oklahoma State,Big 12,3.88,8.14,107.55,89.18
Southern California,Pac-12,3.75,7.76,105.27,87.55
Arizona State,Pac-12,7.94,3.52,105.99,89.28
Richmond,A-10,6.34,4.97,109.93,91.97
Notre Dame,ACC,6.83,4.38,111.13,93.86
Tennessee,SEC,0.46,10.72,106.89,89.83
Connecticut,AAC,6.46,4.69,108.23,90.68
Alabama,SEC,15.06,-3.95,111.14,94.58
St. John's (NY),Big East,8.31,2.40,106.10,90.56
Georgia Tech,ACC,2.67,7.83,103.02,86.83
Texas,Big 12,-0.31,10.78,104.39,87.85
Georgetown,Big East,8.64,1.74,111.16,95.41
South Carolina,SEC,7.55,2.73,105.72,89.85
Clemson,ACC,0.43,9.84,105.31,89.40
TCU,Big 12,1.08,8.78,106.85,91.95
Northern Iowa,MVC,5.13,4.70,112.14,95.80
UCLA,Pac-12,2.98,6.85,110.64,95.17
Oregon State,Pac-12,4.24,5.45,111.51,96.47
Virginia Commonwealth,A-10,3.37,6.29,105.79,90.59
North Carolina,ACC,7.31,2.14,107.64,93.24
Saint Louis,A-10,2.86,6.55,105.86,90.92
Rhode Island,A-10,5.34,3.91,105.25,90.79
Iowa State,Big 12,8.03,1.07,110.46,96.76
Nevada,MWC,8.75,0.17,109.78,96.15
Davidson,A-10,4.96,3.89,112.95,98.12
Kansas State,Big 12,0.14,8.56,103.55,89.88
Boise State,MWC,6.32,2.26,108.27,94.97
San Francisco,WCC,5.74,2.82,109.22,95.65
Missouri,SEC,0.51,8.00,104.70,91.31
Utah,Pac-12,4.56,3.91,107.62,95.96
Georgia,SEC,8.73,-0.45,109.23,96.44
Virginia Tech,ACC,1.58,6.64,106.64,93.78
Southern Methodist,AAC,4.91,3.07,113.07,100.09
Tulsa,AAC,-0.87,8.78,103.51,90.22
DePaul,Big East,3.78,3.85,103.47,91.39
East Tennessee State,Southern,1.10,6.53,107.43,94.69
Mississippi,SEC,1.93,5.44,104.16,92.36
North Texas,CUSA,0.53,6.79,110.06,97.79
Akron,MAC (East),4.76,2.39,107.03,95.14
Louisiana Tech,CUSA,1.76,5.29,106.93,94.41
Pittsburgh,ACC,-0.84,7.64,104.24,93.39
Furman,Southern,3.58,3.22,106.38,95.32
Nevada-Las Vegas,MWC,4.47,2.32,107.62,96.83
Duquesne,A-10,2.92,3.85,106.24,94.81
Colorado State,MWC,7.08,-0.38,108.90,98.09
Wake Forest,ACC,7.76,-1.06,108.44,97.65
Miami (FL),ACC,6.15,0.47,107.91,97.29
Yale,Ivy,4.05,2.58,105.97,95.07
Temple,AAC,1.88,4.71,100.61,90.29
Vermont,AEC,-0.50,6.57,104.63,94.04
