School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Connecticut,.697,17.84,64.5,118.2,.306,.426,.591,54.9,64.0,8.1,17.9,.555,14.6,35.6,.242
Coppin State,.200,-20.98,69.2,89.5,.363,.321,.484,45.2,51.5,11.7,5.6,.444,18.8,26.6,.247
Cornell,.643,1.16,72.4,117.6,.276,.488,.613,50.7,62.9,8.9,8.6,.590,14.7,27.8,.207
Creighton,.706,16.36,67.6,110.5,.285,.490,.583,52.4,63.4,5.4,10.7,.558,16.0,26.9,.209
Dartmouth,.500,-4.47,71.9,107.1,.304,.471,.553,51.0,59.0,7.1,7.8,.520,14.1,24.7,.226
Davidson,.515,1.55,66.6,109.0,.290,.416,.556,49.5,57.2,8.6,7.4,.525,12.9,24.6,.216
Dayton,.688,9.29,66.1,112.1,.381,.404,.567,51.0,59.5,10.6,10.6,.528,13.6,29.8,.284
Delaware,.444,-5.86,70.4,109.7,.300,.408,.585,46.8,51.6,9.1,7.4,.551,15.2,23.0,.235
Delaware State,.533,-11.98,71.8,108.7,.339,.222,.538,52.4,48.1,11.9,7.5,.502,14.7,36.2,.245
Denver,.344,-10.03,68.7,103.7,.329,.367,.549,47.5,44.8,9.8,7.6,.513,16.1,26.3,.243
DePaul,.424,5.99,67.5,105.4,.274,.464,.552,49.7,60.2,8.9,9.4,.527,15.8,27.2,.194
Detroit Mercy,.250,-13.41,67.7,97.6,.290,.288,.497,51.2,44.4,8.4,8.0,.459,16.2,32.5,.213
Drake,.909,9.04,60.0,114.6,.426,.372,.580,55.3,55.1,14.8,8.5,.547,15.6,36.2,.300
Drexel,.545,-3.35,64.2,107.6,.247,.372,.547,52.9,49.4,7.5,12.0,.525,15.9,33.5,.173
Duke,.912,30.32,66.6,124.2,.321,.454,.607,55.8,58.1,10.4,10.6,.574,12.3,35.2,.252
Duquesne,.406,1.81,65.4,104.8,.296,.428,.528,50.6,55.6,10.8,12.6,.505,15.6,33.3,.193
East Carolina,.576,-0.41,68.0,109.4,.360,.349,.530,51.7,49.8,10.9,11.8,.491,13.2,34.9,.259
East Tennessee State,.594,-0.92,66.1,108.7,.322,.414,.531,52.7,50.9,12.1,11.6,.506,13.8,35.2,.213
East Texas A&M,.161,-12.38,67.8,94.5,.280,.483,.514,45.4,61.6,12.3,10.7,.492,19.7,28.1,.180
Eastern Illinois,.387,-12.41,67.9,97.2,.338,.289,.493,49.3,47.2,13.1,9.1,.458,15.6,30.9,.229
Eastern Kentucky,.563,-3.34,68.7,111.5,.269,.425,.531,49.7,47.2,12.4,9.3,.498,11.8,34.1,.201
Eastern Michigan,.500,-9.12,68.3,106.8,.336,.381,.561,49.2,48.0,10.1,9.8,.526,16.5,30.1,.247
Eastern Washington,.313,-8.42,68.4,104.3,.309,.371,.555,47.3,53.4,11.0,9.0,.517,16.3,27.0,.241
Elon,.531,-3.67,66.2,110.8,.383,.425,.553,54.8,49.1,7.9,11.5,.510,15.8,37.8,.286
Evansville,.344,-6.01,67.1,98.4,.304,.409,.525,47.8,53.0,8.9,13.8,.495,15.8,22.8,.212
Fairfield,.375,-14.22,66.7,100.9,.260,.379,.500,47.5,51.5,10.2,8.4,.467,13.3,29.2,.189
FDU,.394,-11.73,69.2,104.9,.331,.421,.540,47.7,52.9,9.9,7.1,.507,14.7,27.2,.235
Florida,.879,27.82,70.9,120.4,.322,.436,.578,55.3,52.6,11.0,12.4,.552,12.7,38.0,.229
Florida A&M,.452,-13.13,69.3,104.1,.359,.469,.555,49.3,51.7,7.5,8.6,.521,17.4,28.6,.256
Florida Atlantic,.545,4.09,69.8,111.5,.328,.408,.561,50.7,57.2,8.9,11.1,.534,14.0,31.2,.229
Florida Gulf Coast,.563,-2.02,65.6,110.6,.231,.386,.558,52.5,51.2,8.5,7.3,.540,14.0,30.2,.159
Florida International,.303,-6.41,69.6,98.0,.348,.303,.508,50.3,49.1,12.7,13.6,.468,16.7,31.6,.246
Florida State,.531,8.81,70.2,105.6,.394,.337,.546,49.4,50.0,10.8,14.1,.507,15.3,29.7,.282
Fordham,.364,-3.84,70.5,104.2,.333,.416,.527,50.0,53.2,10.6,8.7,.491,15.7,31.9,.239
Fresno State,.188,-5.23,70.7,97.3,.364,.353,.500,45.9,44.0,10.4,8.7,.461,15.4,27.0,.252
Furman,.735,0.06,67.3,114.0,.344,.511,.576,51.5,64.4,9.7,9.3,.551,14.2,30.8,.237
Gardner-Webb,.355,-7.96,70.2,105.1,.362,.331,.550,52.0,39.4,7.4,8.8,.519,17.9,33.4,.251
George Mason,.788,7.65,65.2,106.7,.416,.364,.560,53.5,51.8,11.0,11.0,.523,17.1,32.1,.296
George Washington,.636,3.06,67.3,108.2,.402,.416,.549,50.3,55.8,13.1,8.7,.513,15.5,32.3,.281
Georgetown,.531,8.71,68.3,105.0,.258,.374,.530,50.9,53.4,11.6,11.1,.504,14.7,31.6,.182
Georgia,.625,17.23,68.5,110.3,.398,.368,.562,53.0,47.6,11.3,14.7,.525,16.1,36.1,.286
Georgia Southern,.515,-7.37,70.0,104.4,.267,.442,.527,49.5,50.7,11.1,10.6,.506,16.0,33.0,.175
Georgia State,.424,-7.35,69.8,107.3,.328,.338,.537,51.4,44.7,7.5,7.8,.508,14.5,33.2,.225
Georgia Tech,.515,7.31,69.0,104.7,.312,.362,.532,51.3,55.4,8.3,10.2,.504,15.0,30.5,.214
Gonzaga,.758,23.63,70.5,121.5,.309,.335,.594,54.0,61.9,10.7,8.3,.557,11.4,32.7,.247
Grambling,.353,-12.32,67.0,99.0,.333,.348,.526,49.2,48.4,9.9,9.8,.488,16.7,26.7,.243
Grand Canyon,.788,5.82,72.7,108.4,.442,.339,.559,52.8,52.2,12.9,13.1,.514,15.7,32.7,.324
Green Bay,.125,-13.22,69.0,100.9,.367,.459,.555,44.7,60.2,7.1,5.5,.508,16.6,19.1,.288
Hampton,.515,-4.92,67.0,107.8,.300,.369,.520,52.5,45.7,11.2,9.1,.487,13.4,35.3,.214
Harvard,.444,-7.56,66.7,102.1,.249,.399,.539,47.4,54.3,11.0,7.7,.508,15.8,25.1,.191
Hawaii,.484,-3.12,66.7,104.2,.392,.382,.552,54.2,49.4,5.3,6.0,.511,17.5,31.3,.290
High Point,.853,5.41,67.3,121.7,.372,.389,.601,54.3,45.1,9.1,7.9,.565,13.2,35.5,.284
Hofstra,.455,-4.72,64.9,101.2,.256,.431,.527,49.9,56.3,9.0,11.9,.500,15.1,25.7,.183
Holy Cross,.406,-12.25,66.2,104.3,.220,.417,.558,49.2,48.3,6.9,7.8,.537,16.1,23.4,.159
Houston,.882,28.45,62.4,116.7,.282,.345,.557,53.4,44.4,12.5,15.8,.527,12.2,36.1,.209
Houston Christian,.375,-8.18,65.3,101.0,.312,.439,.524,46.9,46.9,12.1,9.4,.495,15.7,26.7,.214
Howard,.375,-11.76,71.5,107.5,.367,.399,.575,49.9,59.4,7.8,7.7,.539,18.1,30.1,.272
Idaho,.424,-7.58,67.1,109.3,.339,.473,.559,49.6,49.2,8.7,8.1,.522,15.2,29.9,.254
Idaho State,.500,-3.60,66.7,110.9,.336,.376,.532,56.4,51.1,9.0,12.9,.492,13.3,39.7,.249
Illinois,.636,21.72,72.4,115.0,.346,.469,.562,55.8,51.9,6.0,9.1,.523,13.4,36.0,.263
Illinois State,.576,1.87,66.1,113.7,.299,.480,.595,50.7,54.7,8.6,5.4,.568,14.1,24.9,.224
Illinois-Chicago,.548,-0.58,69.1,108.2,.339,.392,.556,51.8,57.3,9.6,8.2,.523,15.0,30.5,.244
Incarnate Word,.515,-6.46,65.1,111.2,.278,.362,.554,52.7,46.1,10.4,10.3,.533,15.1,35.8,.189
Indiana,.594,14.60,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233
Indiana State,.438,-3.12,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258
Iona,.500,-8.29,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191
Iowa,.515,12.90,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183
Iowa State,.727,23.05,69.5,114.0,.385,.369,.585,52.7,53.9,13.3,10.2,.546,14.8,32.2,.291
IU Indy,.313,-11.50,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250
Jackson State,.471,-9.14,70.1,100.4,.375,.337,.521,50.1,49.7,10.0,9.6,.477,16.8,30.1,.274
Jacksonville,.594,-3.23,68.7,104.6,.289,.339,.527,52.3,51.6,11.3,12.7,.501,16.1,35.5,.197
Jacksonville State,.647,1.41,65.9,111.2,.317,.370,.548,53.8,44.1,7.4,10.4,.510,12.9,31.7,.241
James Madison,.625,-1.60,65.9,111.2,.306,.443,.551,51.4,45.3,9.1,8.5,.516,13.6,32.1,.231
Kansas,.636,20.72,69.1,109.0,.243,.343,.554,52.6,60.9,8.9,13.1,.531,14.5,30.4,.173
