school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Penn State,.438,12.55,68.2,101.0,.323,.365,.509,51.6,49.2,11.1,10.4,.475,15.4,31.6,.224
Pennsylvania,.613,2.04,69.1,102.9,.282,.444,.548,49.8,56.6,9.6,6.1,.531,16.1,24.7,.180
Pepperdine,.471,0.90,70.7,106.3,.357,.420,.564,47.4,55.4,9.5,8.2,.524,15.9,24.9,.271
Pittsburgh,.424,7.88,68.6,101.1,.423,.369,.521,50.0,50.3,10.0,11.1,.479,16.8,32.1,.295
Portland,.219,-10.80,68.4,94.2,.391,.389,.513,46.3,52.2,7.9,11.1,.477,17.3,21.1,.262
Portland State,.500,-8.95,72.2,106.3,.371,.381,.522,54.7,50.7,11.3,11.5,.483,15.9,38.8,.260
Prairie View NCAA,.629,-7.29,72.5,103.5,.425,.341,.530,46.7,49.3,12.2,4.6,.493,15.2,29.8,.289
Presbyterian,.556,-3.56,69.6,112.0,.313,.481,.570,49.4,58.5,8.5,5.8,.541,12.7,25.3,.228
Princeton,.571,-3.43,69.8,98.4,.301,.408,.511,50.4,43.1,8.5,6.9,.473,15.7,26.3,.223
Providence,.529,8.29,68.8,101.9,.391,.350,.519,51.1,58.8,10.6,11.3,.480,16.0,31.7,.270
Purdue NCAA,.722,21.40,66.1,114.4,.299,.455,.563,53.7,53.6,9.1,12.6,.536,13.5,33.8,.215
Purdue Fort Wayne,.545,-3.47,73.4,111.7,.271,.461,.587,48.9,53.0,10.1,12.3,.569,14.5,24.0,.187
Quinnipiac,.516,-6.78,67.6,106.9,.373,.534,.563,50.8,53.2,7.4,5.2,.528,16.9,29.2,.271
Radford,.667,1.28,66.5,110.4,.266,.388,.559,52.7,52.3,8.9,10.1,.534,14.1,29.9,.190
Rhode Island,.545,2.83,68.2,100.8,.368,.321,.510,51.2,48.8,10.3,11.4,.474,15.3,31.2,.250
Rice,.406,-6.56,71.8,101.1,.390,.427,.535,51.2,53.5,7.3,8.6,.500,16.5,26.5,.268
Richmond,.394,-1.37,66.6,105.3,.307,.402,.561,44.9,61.1,11.3,8.8,.541,14.0,18.7,.203
Rider,.516,-4.96,74.1,103.2,.399,.344,.529,50.4,53.1,12.2,10.1,.506,15.6,30.3,.246
Robert Morris,.514,-9.41,68.2,101.1,.320,.396,.534,50.5,56.6,10.6,8.1,.503,18.1,30.4,.224
Rutgers,.452,8.89,68.1,99.0,.317,.332,.497,52.8,50.6,9.4,11.3,.470,16.1,33.4,.202
Sacramento State,.484,-8.78,69.4,101.2,.329,.293,.528,50.0,53.5,11.0,10.0,.496,16.3,28.3,.228
Sacred Heart,.469,-7.88,74.0,107.6,.375,.354,.564,53.1,53.2,7.2,10.8,.523,17.0,31.3,.283
Saint Francis (PA),.545,-8.74,70.8,107.7,.343,.356,.532,52.0,46.7,9.5,7.9,.497,14.5,34.2,.242
Saint Joseph's,.424,-0.43,68.8,102.2,.317,.447,.521,48.3,50.1,8.2,10.1,.480,12.0,21.5,.238
Saint Louis NCAA,.639,5.06,67.0,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236
Saint Mary's (CA) NCAA,.647,12.58,64.3,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216
Saint Peter's,.313,-12.15,64.3,95.8,.348,.346,.527,50.9,42.6,8.2,17.7,.487,20.4,29.2,.253
Sam Houston,.636,-3.17,68.6,107.3,.258,.418,.549,51.3,62.4,10.5,8.9,.519,15.5,31.0,.194
Samford,.515,0.69,71.2,107.1,.341,.352,.570,50.3,50.1,9.9,10.9,.537,17.0,28.1,.250
San Diego,.583,6.12,68.0,104.4,.320,.404,.562,51.9,56.5,8.2,8.4,.527,16.8,24.7,.239
San Diego State,.618,5.29,68.9,104.1,.350,.372,.539,51.2,57.6,8.4,10.1,.503,15.8,29.4,.251
San Francisco,.677,8.56,67.3,112.0,.307,.393,.556,52.2,50.8,8.9,8.9,.536,13.1,30.8,.201
San Jose State,.129,-16.37,71.3,91.7,.351,.363,.496,49.7,59.3,5.9,5.1,.463,19.0,27.9,.230
Santa Clara,.516,-1.91,67.4,100.0,.343,.401,.550,49.2,56.6,6.9,9.5,.517,18.4,24.3,.246
Savannah State,.355,-20.51,78.1,97.0,.255,.576,.506,46.2,56.0,9.6,7.9,.481,17.0,28.2,.173
Seattle,.545,-1.47,69.7,104.4,.343,.330,.535,52.3,45.3,6.1,9.3,.499,15.1,29.5,.246
Seton Hall NCAA,.588,10.25,70.1,104.0,.345,.367,.533,50.0,51.7,9.7,11.2,.499,15.2,29.6,.243
Siena,.515,-7.90,61.5,103.1,.247,.477,.536,46.8,53.8,9.2,8.3,.515,13.9,23.2,.168
South Alabama,.500,-4.46,68.9,104.7,.355,.404,.563,47.6,54.3,8.5,11.5,.536,17.2,25.6,.244
South Carolina,.500,8.34,71.2,101.8,.364,.347,.520,49.9,51.2,8.8,12.7,.486,16.2,32.0,.248
South Carolina State,.235,-16.86,69.2,100.4,.408,.308,.529,50.6,47.6,7.0,5.4,.480,17.9,32.2,.303
South Carolina Upstate,.188,-15.30,69.4,96.9,.263,.436,.515,46.7,56.0,9.2,8.1,.486,17.3,26.2,.187
South Dakota,.433,-5.52,68.1,103.3,.352,.400,.545,47.9,52.4,8.0,6.4,.506,14.3,22.0,.260
South Dakota State,.727,5.92,72.8,116.1,.323,.408,.615,53.3,49.7,8.4,6.0,.584,14.6,23.7,.251
South Florida,.632,5.96,69.5,101.8,.480,.386,.529,54.7,57.2,11.3,9.7,.494,18.8,35.7,.310
Southeast Missouri State,.323,-11.32,70.2,99.8,.287,.397,.539,48.8,50.5,8.2,6.9,.514,17.9,25.7,.198
Southeastern Louisiana,.515,-7.59,67.6,99.6,.369,.401,.545,52.2,59.1,9.6,7.1,.509,20.8,32.5,.265
Southern,.219,-16.79,68.3,94.6,.344,.318,.522,47.9,49.5,9.8,8.1,.492,20.4,29.4,.230
Southern California,.485,8.23,71.0,105.8,.276,.360,.546,48.7,57.2,8.5,9.4,.528,14.5,26.9,.178
Southern Illinois,.531,1.39,66.8,102.7,.320,.331,.554,50.8,54.6,9.9,11.7,.528,18.4,28.6,.219
SIU Edwardsville,.323,-14.47,71.9,98.4,.357,.350,.510,48.2,48.1,8.6,6.1,.471,16.5,28.7,.251
Southern Methodist,.469,5.81,66.5,108.2,.278,.410,.540,50.9,52.9,8.9,11.3,.512,14.1,32.6,.199
Southern Mississippi,.606,2.58,67.4,106.8,.253,.369,.553,50.1,61.5,11.3,11.0,.537,13.8,24.3,.166
Southern Utah,.500,-8.91,73.5,101.5,.379,.400,.546,50.2,48.4,7.8,9.1,.509,16.5,23.2,.270
St. Bonaventure,.529,3.34,65.1,99.8,.282,.332,.518,50.6,50.8,8.8,15.4,.483,16.2,28.9,.209
St. Francis (NY),.515,-10.19,70.6,100.3,.292,.405,.518,49.1,46.0,8.3,10.6,.491,15.4,27.4,.198
St. John's (NY) NCAA,.618,7.88,72.6,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212
Stanford,.484,6.03,71.8,100.9,.361,.366,.540,51.4,48.5,8.3,10.7,.511,18.3,29.8,.242
Stephen F. Austin,.467,-10.99,69.8,99.7,.358,.347,.530,49.0,46.7,9.1,11.9,.499,18.2,30.3,.244
Stetson,.226,-15.01,71.6,96.5,.256,.349,.489,47.8,52.6,9.4,8.5,.459,15.2,29.0,.177
Stony Brook,.727,-2.10,69.9,101.4,.359,.369,.521,54.2,45.6,9.0,13.0,.481,17.4,33.4,.259
Syracuse NCAA,.588,13.73,67.2,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252
TCU,.622,13.81,69.4,104.9,.317,.375,.547,51.7,60.4,9.8,11.5,.521,16.7,30.9,.216
Temple NCAA,.697,8.17,70.5,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236
Tennessee NCAA,.838,21.55,69.4,116.1,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251
Tennessee State,.300,-11.62,73.1,98.7,.361,.412,.536,50.0,45.5,9.9,7.5,.501,19.6,29.3,.253
Tennessee Tech,.258,-14.76,72.9,92.4,.362,.348,.503,48.3,52.4,9.9,11.1,.476,19.8,28.4,.228
Tennessee-Martin,.387,-10.94,71.2,106.0,.276,.379,.544,48.6,51.6,10.0,7.9,.511,16.2,31.3,.208
Texas,.568,16.06,66.4,105.9,.297,.435,.537,49.3,52.3,9.1,11.4,.509,14.1,27.8,.207
Texas A&M,.438,7.21,69.4,101.5,.343,.360,.526,50.7,46.7,9.7,12.7,.493,17.2,32.7,.237
Texas A&M-Corpus Christi,.438,-9.11,67.3,97.9,.300,.344,.516,52.6,54.7,9.1,9.0,.485,18.1,31.4,.209
Texas Southern,.632,-5.55,76.3,104.9,.415,.358,.545,50.7,54.6,10.4,7.3,.513,17.1,31.6,.277
Texas State,.706,1.54,68.5,105.3,.352,.377,.537,54.3,56.3,10.0,7.7,.506,16.5,33.7,.240
Texas Tech NCAA,.816,22.79,67.6,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241
Texas-Rio Grande Valley,.541,-2.04,71.9,98.4,.432,.297,.511,45.8,56.2,12.9,8.0,.466,15.5,25.9,.300
The Citadel,.400,-7.94,76.7,110.0,.260,.535,.565,47.7,51.4,8.7,10.6,.539,14.6,27.0,.191
Toledo,.758,8.21,69.7,109.4,.267,.432,.566,52.5,59.7,7.3,11.5,.534,15.2,28.2,.206
Towson,.313,-8.44,64.5,102.7,.286,.296,.514,53.7,39.4,7.3,9.7,.484,15.6,34.6,.199
Troy,.400,-6.12,69.6,103.6,.320,.410,.550,48.8,50.7,8.1,12.3,.518,17.1,27.1,.231
Tulane,.129,-6.72,72.0,93.3,.328,.376,.505,48.6,60.6,6.6,9.1,.471,18.5,26.2,.226
Tulsa,.563,4.65,69.9,101.9,.434,.376,.550,48.7,55.4,7.8,7.0,.512,16.2,22.5,.301
UAB,.571,0.36,66.6,105.2,.315,.346,.536,52.7,44.3,9.3,7.5,.511,14.8,30.4,.212
UC Davis,.355,-6.26,67.0,96.5,.308,.370,.531,46.5,51.0,9.3,7.0,.500,17.7,21.5,.218
UC Irvine NCAA,.838,5.70,66.2,107.8,.296,.325,.543,54.8,48.5,8.5,10.9,.516,15.2,34.0,.208
UC Riverside,.303,-11.12,64.3,101.1,.237,.416,.541,50.5,53.7,7.7,5.4,.521,17.6,26.9,.162
UC Santa Barbara,.688,-1.62,66.0,110.4,.381,.327,.547,54.8,52.2,7.5,9.2,.510,14.2,34.8,.273
UCF NCAA,.727,13.37,67.3,107.1,.453,.356,.557,51.5,53.6,8.5,12.6,.529,15.5,29.0,.294
UCLA,.515,7.17,73.7,104.9,.382,.358,.543,52.8,51.4,7.9,10.7,.520,16.4,30.8,.242
UNC Asheville,.129,-19.81,64.2,92.9,.269,.422,.506,46.5,50.5,9.8,9.0,.471,19.9,29.1,.199
UNC Greensboro,.806,4.08,69.9,108.5,.305,.375,.548,50.7,45.4,12.5,11.5,.521,14.5,31.4,.212
UNC Wilmington,.303,-8.10,70.2,107.3,.339,.375,.545,52.4,56.3,6.4,6.0,.509,15.9,32.2,.248
UT Arlington,.515,-0.50,69.0,98.5,.345,.405,.514,51.6,53.9,9.1,8.3,.471,17.4,31.0,.256
Utah,.548,6.13,67.9,110.9,.355,.465,.578,52.3,54.7,6.8,7.0,.550,16.8,30.7,.251
Utah State NCAA,.800,11.98,70.0,111.6,.367,.379,.575,56.2,62.4,8.7,12.2,.538,15.8,31.9,.274
Utah Valley,.714,3.00,70.4,109.5,.396,.384,.588,53.1,52.0,8.2,6.7,.555,17.5,28.3,.287
UTEP,.276,-8.23,70.0,90.8,.363,.389,.498,50.4,48.0,6.6,7.9,.464,20.0,27.3,.240
UTSA,.531,0.69,74.0,103.5,.259,.413,.534,49.2,46.9,8.9,6.9,.504,14.8,25.8,.191
